[DBG-MEM]: n allocs: 728, alloc size: 12910, non used memory by user: 528008, non used memory by user percetnage: 0.747510, elapsed time: 0.003999, freeded chunks percentage: 12.500000, non freeded chunks percetnage: 87.500000
[DBG-MEM]: n allocs: 891, alloc size: 15376, non used memory by user: 740048, non used memory by user percetnage: 1.030431, elapsed time: 0.004001, freeded chunks percentage: 12.573674, non freeded chunks percetnage: 87.426326
[DBG-MEM]: n allocs: 917, alloc size: 8394, non used memory by user: 458896, non used memory by user percetnage: 0.654334, elapsed time: 0.003999, freeded chunks percentage: 18.181818, non freeded chunks percetnage: 81.818182
[DBG-MEM]: n allocs: 1104, alloc size: 8939, non used memory by user: 758712, non used memory by user percetnage: 1.067560, elapsed time: 0.004000, freeded chunks percentage: 21.178121, non freeded chunks percetnage: 78.821879
[DBG-MEM]: n allocs: 923, alloc size: 15754, non used memory by user: 682432, non used memory by user percetnage: 0.951347, elapsed time: 0.004001, freeded chunks percentage: 13.043478, non freeded chunks percetnage: 86.956522
[DBG-MEM]: n allocs: 1062, alloc size: 15807, non used memory by user: 904648, non used memory by user percetnage: 1.241561, elapsed time: 0.003999, freeded chunks percentage: 13.888889, non freeded chunks percetnage: 86.111111
[DBG-MEM]: n allocs: 1000, alloc size: 16252, non used memory by user: 756232, non used memory by user percetnage: 1.046104, elapsed time: 0.004001, freeded chunks percentage: 12.615955, non freeded chunks percetnage: 87.384045
[DBG-MEM]: n allocs: 1149, alloc size: 17302, non used memory by user: 922472, non used memory by user percetnage: 1.257610, elapsed time: 0.004002, freeded chunks percentage: 10.985460, non freeded chunks percetnage: 89.014540
[DBG-MEM]: n allocs: 1040, alloc size: 8848, non used memory by user: 610744, non used memory by user percetnage: 0.865093, elapsed time: 0.004001, freeded chunks percentage: 19.018405, non freeded chunks percetnage: 80.981595
[DBG-MEM]: n allocs: 1071, alloc size: 17394, non used memory by user: 940008, non used memory by user percetnage: 1.280088, elapsed time: 0.004001, freeded chunks percentage: 12.459547, non freeded chunks percetnage: 87.540453
[DBG-MEM]: n allocs: 992, alloc size: 15251, non used memory by user: 808792, non used memory by user percetnage: 1.117734, elapsed time: 0.000900, freeded chunks percentage: 13.781513, non freeded chunks percetnage: 86.218487
[DBG-MEM]: n allocs: 1194, alloc size: 13167, non used memory by user: 860856, non used memory by user percetnage: 1.186864, elapsed time: 0.008001, freeded chunks percentage: 13.432836, non freeded chunks percetnage: 86.567164
[DBG-MEM]: n allocs: 790, alloc size: 14154, non used memory by user: 627944, non used memory by user percetnage: 0.880668, elapsed time: 0.004000, freeded chunks percentage: 12.266112, non freeded chunks percetnage: 87.733888
[DBG-MEM]: n allocs: 993, alloc size: 14483, non used memory by user: 788024, non used memory by user percetnage: 1.093428, elapsed time: 0.004005, freeded chunks percentage: 12.962963, non freeded chunks percetnage: 87.037037
[DBG-MEM]: n allocs: 1027, alloc size: 15307, non used memory by user: 816184, non used memory by user percetnage: 1.123181, elapsed time: 0.000000, freeded chunks percentage: 11.148649, non freeded chunks percetnage: 88.851351
[DBG-MEM]: n allocs: 993, alloc size: 15008, non used memory by user: 760976, non used memory by user percetnage: 1.056197, elapsed time: 0.003996, freeded chunks percentage: 15.743945, non freeded chunks percetnage: 84.256055
[DBG-MEM]: n allocs: 1319, alloc size: 19177, non used memory by user: 1024736, non used memory by user percetnage: 1.365684, elapsed time: 0.004001, freeded chunks percentage: 10.512129, non freeded chunks percetnage: 89.487871
[DBG-MEM]: n allocs: 1031, alloc size: 10925, non used memory by user: 726896, non used memory by user percetnage: 1.021263, elapsed time: 0.003999, freeded chunks percentage: 18.810289, non freeded chunks percetnage: 81.189711
[DBG-MEM]: n allocs: 1329, alloc size: 16942, non used memory by user: 1114520, non used memory by user percetnage: 1.498016, elapsed time: 0.004000, freeded chunks percentage: 14.064516, non freeded chunks percetnage: 85.935484
[DBG-MEM]: n allocs: 1233, alloc size: 20508, non used memory by user: 1044368, non used memory by user percetnage: 1.393521, elapsed time: 0.004001, freeded chunks percentage: 12.608696, non freeded chunks percetnage: 87.391304
[DBG-MEM]: n allocs: 1266, alloc size: 10331, non used memory by user: 872720, non used memory by user percetnage: 1.215438, elapsed time: 0.004001, freeded chunks percentage: 18.513854, non freeded chunks percetnage: 81.486146
[DBG-MEM]: n allocs: 1171, alloc size: 18241, non used memory by user: 959744, non used memory by user percetnage: 1.295976, elapsed time: 0.007998, freeded chunks percentage: 13.690476, non freeded chunks percetnage: 86.309524
[DBG-MEM]: n allocs: 1071, alloc size: 19695, non used memory by user: 815072, non used memory by user percetnage: 1.103917, elapsed time: 0.004001, freeded chunks percentage: 9.621993, non freeded chunks percetnage: 90.378007
[DBG-MEM]: n allocs: 1339, alloc size: 11736, non used memory by user: 894520, non used memory by user percetnage: 1.236069, elapsed time: 0.008000, freeded chunks percentage: 16.535433, non freeded chunks percetnage: 83.464567
